t_s,true_px_m,true_py_m,true_vx_mps,true_vy_mps,true_ax_mps2,true_ay_mps2,imu_ax_mps2,imu_ay_mps2,imu_bax_mps2,imu_bay_mps2,gps_available,gps_px_m,gps_py_m
0.0,0.0,0.0,5.0,0.5,0.0,0.5,-0.030978756379860757,0.6579594168867524,0.0,0.0,1,-1.0816254115076533,0.8874248812584385
0.01,0.05,0.005025,5.0,0.505,0.003899940837915207,0.5013487717755618,0.010532992290925358,0.432389683548366,0.0006094341595088627,-0.0020799682124809913,0,,
0.02,0.10000019499704191,0.010100067438588779,5.000038999408379,0.5100134877177557,0.007799526713286483,0.5026950142101705,-0.11416573114534379,0.44795085977758264,0.002110336551121777,-0.00019883877969856354,0,,
0.03,0.15000097496746137,0.015225337066476845,5.000116994675512,0.5150404378598574,0.011698402713392501,0.5040386179824665,-0.12886868728281933,0.4803487436017823,-0.001791733826185896,-0.0028031977934232,0,,
0.04,0.20000272983435216,0.020400943375974544,5.000233978702646,0.5200808240396821,0.015596214025149983,0.5053794738005166,0.032289939239097204,0.5310653829540952,-0.0015360530198513251,-0.003435682978110364,0,,
0.05,0.2500058494320799,0.025627020590061392,5.000389940842897,0.5251346187776873,0.019492605984914792,0.5067174724106687,-0.0578551060814413,0.5112774783396967,-0.0015696553348599027,-0.005141770833257524,0,,
0.06,0.3000107234708081,0.030903702651458802,5.000584866902746,0.530201793501794,0.02338722412826156,0.508052504606404,-0.12167480695756468,0.5648971164407135,0.00018914061486575442,-0.0035861869623996278,0,,
0.07,0.350017741501042,0.03623112321170706,5.000818739144028,0.535282318547858,0.027279714239734645,0.5093844612371873,0.1241350454811291,0.39553410246720955,0.0003212020099881865,-0.0013317045484635619,0,,
0.08,0.4000272928781943,0.0416094156202475,5.001091536286426,0.5403761631602298,0.031169722402563257,0.5107132332173124,-0.0307535241956537,0.5473483126727373,0.0012562206944922777,-0.0030502894742300384,0,,
0.09,0.45003976672717866,0.047038712913510666,5.001403233510452,0.5454832954924029,0.03505689504833366,0.5120387115347447,0.15203177769752674,0.43284911883629124,0.001993722262657275,-0.004968054675888036,0,,
0.1,0.5000555519070357,0.05251914780401143,5.001753802460935,0.5506036826077504,0.03894087900661127,0.5133607872599564,0.04553858098282581,0.49395949055653804,0.0037506228652718202,-0.0050679064978605415,0,,
0.11,0.5500750369755953,0.05805085266945193,5.002143211251001,0.5557372904803499,0.042821321554505444,0.5146793515547586,0.07567810589821708,0.6790509486937109,0.003380898138181299,-0.006429765586668424,0,,
0.12,0.6000986101541831,0.06363395954183317,5.002571424466546,0.5608840839958975,0.046697870466169966,0.5159942956811253,0.03137387667201404,0.36943119025371846,0.005825980815529359,-0.006738824550806028,0,,
0.13,0.6501266592923719,0.0692686000965762,5.003038403171208,0.5660440269527087,0.05057017406223203,0.51730551101001,-0.2099767252211345,0.48191567251429046,0.004969325171203145,-0.007443091651782488,0,,
0.14,0.7001595718327871,0.07495490564165379,5.00354410491183,0.5712170820628089,0.05443788125914258,0.5186128890301551,-0.053206824303918,0.38443610827603825,0.006033943542309842,-0.0067122035230543315,0,,
0.15,0.7501977347759683,0.0806930071067334,5.004088483724422,0.5764032109531104,0.05830064161844099,0.519916321356893,0.052589104412070375,0.5293725572950317,0.006859408765501819,-0.005850561517038566,0,,
0.16,0.8002415346452935,0.08648303503233234,5.004671490140606,0.5816023741666794,0.06215810539592698,0.5212156997409362,0.10977372309244017,0.6193755997301302,0.011142703967242741,-0.006663391549807798,0,,
0.17,0.8502913574519694,0.09232511955898617,5.005293071194566,0.5868145311640888,0.06600992359073252,0.5225109160771588,-0.1028392601389799,0.5311854909552822,0.010118218509099667,-0.008290937006303553,0,,
0.18,0.9003475886600946,0.09821939041643092,5.005953170430473,0.5920396403248603,0.06985574799428705,0.5238018624133675,0.0758457545624916,0.5060972846589394,0.011350177354250658,-0.00603299242086177,0,,
0.19,0.9504106131517991,0.1041659769128002,5.006651727910416,0.597277658948994,0.0736952312391686,0.5250884309590591,-0.02740889504329365,0.6502153584894774,0.011122282438940907,-0.007713305374786826,0,,
0.2,1.0004808151924651,0.1101650079238381,5.007388680222808,0.6025285432585846,0.07752802684783391,0.5263705140941681,0.11046336336435776,0.5530086377722451,0.009473320007558428,-0.006412119799137424,0,,
0.21,1.0505585783960356,0.11621661188212866,5.008163960491286,0.6077922483995263,0.08135378928122061,0.5276480043777998,0.09037353906120342,0.6042787987464537,0.010959828349965313,-0.005325811262527034,0,,
0.22,1.1006442856904126,0.12232091676634281,5.008977498384098,0.6130687284433043,0.08517217398721438,0.5289207945569506,0.16915114316555968,0.5955850446250706,0.009628808935387924,-0.004861488616393594,0,,
0.23,1.150738319282953,0.1284780500905037,5.0098292201239705,0.6183579363888738,0.08898283744897417,0.5301887775752137,0.20552731102139543,0.238140625736602,0.009862180553669381,-0.004424111422935568,0,,
0.24,1.200841060626065,0.13468813889327122,5.01071904849846,0.623659824164626,0.09278543723310853,0.5314518465814695,0.1502894652700772,0.5198080456939884,0.01160503810956576,-0.003976920325386203,0,,
0.25,1.2509528903829112,0.14095130972724657,5.011646902870791,0.6289743426304406,0.09657963203769604,0.5327098949385611,0.19558185617046306,0.42106068586401746,0.01296286523570955,-0.0038417621864084203,0,,
0.26,1.301074188393221,0.1472676886482979,5.012612699191168,0.6343014415798263,0.10036508174014308,0.5339628162319522,0.07887193818084876,0.44845194108153463,0.013541104033089517,-0.0025791857347313395,0,,
0.27,1.3512053336392198,0.15363740120490776,5.0136163500085695,0.6396410697421457,0.10414144744487192,0.5352105042783689,0.39707998096496466,0.6794505868434523,0.010626792393378184,-0.003218528167445942,0,,
0.28,1.4013467042116776,0.16006057242754312,5.014657764483018,0.6449931747849295,0.10790839153083223,0.5364528531344231,-0.004287471033863288,0.49447601473823133,0.009686047084792593,-0.004496283863932626,0,,
0.29,1.4514986772760843,0.16653732681804914,5.015736848398326,0.6503577033162737,0.11166557769882957,0.5376897571052173,0.06802576249023666,0.7254401754443542,0.009135762582339226,-0.0015064012414638343,0,,
0.3,1.5016616290389526,0.17306778833906714,5.016853504175314,0.6557346008873259,0.1154126710186634,0.5389211107529306,0.21295262964430542,0.3985824241935641,0.007404100350952739,0.0004301554677191273,0,,
0.31,1.5518359347142567,0.17965208040347805,5.018007630885501,0.6611238119948553,0.11914933797606839,0.5401468089053842,0.19845982926988878,0.431540116285395,0.00403836080772113,-0.00023961459225242242,0,,
0.32,1.6020219684900106,0.18629032586387187,5.019199124265262,0.6665252800839091,0.12287524651945197,0.5413667466645872,0.175978015371618,0.6185346428302504,0.004363866937931141,0.000932830070466134,0,,
0.33,1.6522201034949893,0.1929826470020442,5.020427876730456,0.6719389475505549,0.12659006610642162,0.5425808194152595,0.19990825200324924,0.5109631919802746,0.005786320097516851,0.0025195245408659844,0,,
0.34,1.702430711765599,0.19972916551852052,5.02169377739152,0.6773647557447076,0.13029346775009504,0.5437889228333348,-0.07297337775748908,0.5761164774489766,0.005088869953019976,0.00159482095553685,0,,
0.35000000000000003,1.7526541642129017,0.20653000252210926,5.022996712069021,0.6828026449730409,0.13398512406518637,0.5449909528944388,0.2997198152345041,0.5349724825632374,0.006804821715534284,0.0012122123057736202,0,,
0.36,1.8028908305897953,0.21338527851948438,5.024336563309673,0.6882525545019853,0.13766470931386254,0.5461868058823454,0.12152906249605949,0.5308748199635113,0.00425344906885844,-0.0010543621222333412,0,,
0.37,1.8531410794583576,0.22029511340479838,5.025713210402811,0.6937144225608087,0.1413318994513621,0.5473763783974084,0.2683358621753025,0.5168927308900749,0.0024145444968552174,-6.004063412581298e-05,0,,
0.38,1.9034052781573583,0.22725962644932635,5.027126529397325,0.6991881863447829,0.14498637217137098,0.5485595673649682,-0.05566688975642828,0.5678298334797516,0.002699395968996348,0.0013209300740097236,0,,
0.39,1.95368379276994,0.2342789362911424,5.028576393119039,0.7046737820184326,0.1486278069511479,0.5497362700437343,0.17612954797559033,0.6155381082526876,0.0018448906763232794,0.0016380094561631521,0,,
0.4,2.0039769880914777,0.24135316092482892,5.03006267118855,0.7101711447188699,0.15225588509639348,0.5509063840341386,0.09900172864616656,0.713367915508109,0.003096071464257953,0.0010193163767226753,0,,
0.41000000000000003,2.0542852275976182,0.24848241769121934,5.031585230039514,0.7156802085592112,0.1558702897858561,0.5520698072866663,0.2170919268833592,0.5315140182469739,0.004009621939372775,-0.0003045355054106273,0,,
0.42,2.1046088734125026,0.2556668232671758,5.033143932937373,0.7212009066320779,0.15947070611566877,0.5532264381101559,0.19446126560879595,0.5127945972531611,0.0032835142462426317,-0.0010680112934072855,0,,
0.43,2.154948286277182,0.26290649365540214,5.03473863999853,0.7267331710131795,0.16305682114340966,0.5543761751800724,0.20055343584839208,0.5020359532023231,0.0008918349550645524,-9.40663318361218e-05,0,,
0.44,2.2053038255182247,0.27020154417429293,5.036369208209964,0.7322769327649802,0.16662832393188112,0.5555189175467512,0.06068718538339106,0.7024282249556204,-4.6969725340895315e-05,-6.907809438074694e-05,0,,
0.45,2.2556758490165207,0.27755208944782006,5.038035491449282,0.7378321219404477,0.17018490559259977,0.5566545646436132,0.1654025171032096,0.6265110386126741,0.0009145235924709226,0.0008239842576791413,0,,
0.46,2.3060647131762932,0.2849582433954567,5.039737340505208,0.7433986675868838,0.17372625932899222,0.5577830162953497,0.1579548483464746,0.36850668694019295,0.002245293810416495,0.0006270132886602941,0,,
0.47000000000000003,2.3564707728943115,0.29242011922214034,5.041474603098497,0.7489764977498373,0.1772520804792899,0.5589041727260752,0.22818178183636134,0.3650596793132845,0.0013986971863281874,0.00046757686684749595,0,,
0.48,2.4068943815293204,0.299937829408275,5.04324712390329,0.754565539477098,0.18076206655911664,0.5600179345674504,0.27771579442087546,0.4745854985396432,-0.001975971681587872,-0.0024266480779986787,0,,
0.49,2.4573358908716814,0.3075114856997744,5.045054744568882,0.7601657188227725,0.18425591730376348,0.5611242028667728,0.19468213859832825,0.5797176055390086,-0.004621370906296676,-0.004421141733201642,0,,
0.5,2.5077956511132355,0.3151411990981455,5.046897303741919,0.7657769608514402,0.1877333347101437,0.5622228790950329,0.05629428341843401,0.552643765329242,-0.003821822452849803,-0.006232099843921764,0,,
0.51,2.55827401081739,0.3228270798506146,5.0487746370890205,0.7713991896423905,0.1911940230784229,0.5633138651549391,0.1973737564741711,0.6111580770909576,-0.0045781475609285825,-0.0036336432483496327,0,,
0.52,2.608771316889434,0.33056923744029626,5.050686577319805,0.7770323282939399,0.194637689053318,0.5643970633889075,0.4504546363911928,0.5446941070591641,-0.005290675503051435,-0.0021586121114154596,0,,
0.53,2.6592879145470847,0.3383677805764051,5.052632954210338,0.782676298927829,0.19806404166505837,0.5654723765870168,0.35550666350076576,0.7026447664977604,-0.007157910863071189,-0.0025694872271507197,0,,
0.54,2.7098241472912714,0.34622281718451275,5.054613594626989,0.7883310226936991,0.20147279237000465,0.5665397079949281,-0.10502511887865762,0.6405032924933778,-0.009057954972892352,-0.003247553378951845,0,,
0.55,2.76038035687716,0.3541344543968495,5.056628322550689,0.7939964197736484,0.20486365509091803,0.567598961321769,0.20382063176242496,0.568654427808001,-0.007377338697977561,-0.006702194225336543,0,,
0.56,2.8109568832854213,0.36210279854265204,5.058676959101598,0.7996724093868661,0.2082363462568751,0.5686500407479802,0.2949398073715237,0.6769572607807188,-0.006508491410885846,-0.006226723020671987,0,,
0.5700000000000001,2.86155406469375,0.37012795513855806,5.060759322564167,0.8053589097943459,0.21159058484282212,0.569692850933126,0.18566109226374475,0.3956833897721551,-0.0076967913222794355,-0.009118838729448896,0,,
0.58,2.9121722374486336,0.3782100288790482,5.0628752284125955,0.8110558383036771,0.21492609240876326,0.5707272970236659,0.16136446808752322,0.552042001609567,-0.007552532306851697,-0.010177824147576502,0,,
0.59,2.96281173603738,0.38634912362693613,5.065024489336683,0.8167631112739138,0.21824259313857675,0.5717532846606872,0.18445899174608563,0.5753703954169561,-0.007087179884142289,-0.010134119856529615,0,,
0.6,3.0134728930604036,0.3945453424039083,5.067206915268069,0.8224806441205207,0.22153981387845417,0.5727707199876008,0.27287514032041893,0.622361538871376,-0.003883622101500458,-0.010612831111475663,0,,
0.61,3.064156039203778,0.4027987873811129,5.069422313406854,0.8282083513203967,0.22481748417495614,0.573779509657794,0.10403986965071106,0.3920086295333689,-0.005930617086744187,-0.010254279841563031,0,,
0.62,3.1148615032120555,0.4111095598697998,5.0716704882486034,0.8339461464169746,0.2280753363126803,0.5747795608422452,0.3414535777548167,0.5412029654637149,-0.005490623718800657,-0.007535904691082158,0,,
0.63,3.1655896118613573,0.41947776031201167,5.07395124161173,0.839693942025397,0.23131310535153515,0.5757707812370972,0.22189340495475673,0.6089946982994215,-0.0038204012269715,-0.006822162572783139,0,,
0.64,3.2163406899327422,0.4279034882713275,5.076264372665245,0.845451649837768,0.23453052916361478,0.5767530790711876,0.14013430630792745,0.6152696030294923,-0.0008937954445323764,-0.009199688681428841,0,,
0.65,3.267115060185853,0.43638684242365877,5.078609677956882,0.8512191806284799,0.23772734846966914,0.5777263631135376,0.34798906609950686,0.6852865066947178,-0.002173298510031872,-0.011052840564239892,0,,
0.66,3.3179130433328456,0.44492792054809926,5.080986951441578,0.8569964442596153,0.24090330687516476,0.5786905426807999,0.08343729824765722,0.6410348630621219,-0.0029529181163434077,-0.01380621285935251,0,,
0.67,3.368734958012605,0.45352681951782947,5.08339598451033,0.8627833496864233,0.24405815090593047,0.5796455276446592,0.1868545249830575,0.559310264453905,-0.001682616222714599,-0.014250658253550055,0,,
0.68,3.419581120765254,0.4621836352910759,5.085836566019389,0.8685798049628699,0.24719163004338301,0.5805912284391918,0.18539989470314666,0.6318067869181021,-0.004624228811719915,-0.01628181641596514,0,,
0.6900000000000001,3.47045184600695,0.4708984629021266,5.088308482319823,0.8743857172472618,0.25030349675932784,0.5815275560681796,0.4607004894661214,0.54678562923254,-0.003997201116819524,-0.014605563280176375,0,,
0.7000000000000001,3.521347446004986,0.47967139645240264,5.090811517287416,0.8802009928079436,0.2533935065503295,0.5824544221123787,0.18488769035294922,0.5883539790405024,-3.7393334359507244e-06,-0.008777838348161716,0,,
0.71,3.5722682308531875,0.4885025291015877,5.093345452352919,0.8860255370290674,0.2564614179716475,0.5833717387367416,0.04178997545475305,0.6520950591632524,0.000825079533116042,-0.010756914588225443,0,,
0.72,3.623214508447615,0.49739195305881523,5.095910066532635,0.8918592544164348,0.2595069926707318,0.5842794186975944,0.19788646811447105,0.5695278477152523,-0.0034390130283465763,-0.010221491663537773,0,,
0.73,3.674186584462575,0.5063397595739145,5.098505136459343,0.8977020486034107,0.2625299954202738,0.5851773753497651,0.30302013494178437,0.6103241371190518,-0.005064895218967228,-0.011052206183897142,0,,
0.74,3.7251847623269394,0.5153460389287161,5.101130436413546,0.9035538223569084,0.2655301941508078,0.5860655226536665,0.3376495599920814,0.6708626116286379,-0.006289088817086844,-0.011333787956729914,0,,
0.75,3.7762093432007826,0.5244108804284179,5.103785738355054,0.9094144775834451,0.26850735998285863,0.5869437751823288,0.4920042009716243,0.6471405704343949,-0.004157128355511557,-0.011019690821839224,0,,
0.76,3.827260625952332,0.5335343723930115,5.106470811954883,0.9152839153352683,0.27146126725862985,0.587812048128385,0.407676626327629,0.6980682353890311,-0.004474398029588934,-0.013090998327490846,0,,
0.77,3.878338907135244,0.5427166021487705,5.109185424627469,0.9211620358165522,0.27439169357322946,0.5886702573110061,0.285360189045747,0.8074514729606597,-0.007823763918997648,-0.014063614145637508,0,,
0.78,3.9294444809661973,0.5519576560198015,5.111929341563202,0.9270487383896623,0.2772984198054268,0.589518319182787,0.18022554402731472,0.6492833422000035,-0.007931329020634289,-0.010527754318477741,0,,
0.79,3.98057763930282,0.5612576193196572,5.114702325761256,0.9329439215814902,0.2801812301479384,0.5903561508365811,0.4349131933049858,0.535664620399674,-0.007670779977688517,-0.008562275296431625,0,,
0.8,4.031738671621939,0.5706165763430139,5.117504138062735,0.938847483089856,0.2830399121372364,0.5911836700122857,0.23751418592984647,0.631433811965,-0.008669371174766821,-0.010932162829265674,0,,
0.81,4.082927864998173,0.580034610357413,5.120334537184108,0.9447593197899788,0.28587425668287614,0.5920007951035734,0.2094589283621841,0.626500021794278,-0.010599604699231565,-0.01238261495833718,0,,
0.8200000000000001,4.1341455040828485,0.5895118035950679,5.123193279750937,0.9506793277410146,0.288684058096339,0.5928074451645736,0.2406340126465708,0.6401331261988259,-0.006342665234361236,-0.014025388316785953,0,,
0.8300000000000001,4.1853918710832625,0.5990482372447363,5.1260801203319,0.9566074021926604,0.291469114119386,0.5936035399165003,0.16157460340281646,0.7272739219672775,-0.004665686826888546,-0.015831242672960006,0,,
0.84,4.236667245742288,0.6086439914436587,5.128994811473094,0.9625434375918254,0.2942292259519176,0.5943889997542264,0.24492467603367996,0.4109165081150775,-0.002802540801140058,-0.01506134074074828,0,,
0.85,4.287971905318316,0.6182991452695646,5.1319371037326125,0.9684873275893676,0.2969641982793371,0.595163745752806,0.2705375486850393,0.7314046790927602,-0.003115816596456239,-0.015142865793019149,0,,
0.86,4.339306124565557,0.6280137767327459,5.134906745715406,0.9744389650468956,0.2996738392994117,0.5959276996739399,0.36831410789330854,0.7667186650896962,-0.0044253919873150195,-0.014250721390054987,0,,
0.87,4.390670175714676,0.6377879627681986,5.1379034841084,0.980398242043635,0.30235796074862925,0.5966807839723894,0.2582137682905308,0.6367859173818214,-0.00533535894799658,-0.016701932917589483,0,,
0.88,4.442064328453797,0.6476217792278336,5.140927063715886,0.9863650498833589,0.305016377928046,0.5974229218023319,0.17037921964755862,0.6402796728425,-0.007891234096635818,-0.016356757082145245,0,,
0.89,4.493488849909852,0.6575153008727573,5.143977227495167,0.9923392791013823,0.3076489097286213,0.5981540370236628,0.14253864261913637,0.5579527824427145,-0.004733051583814948,-0.016036773854998368,0,,
0.9,4.54494400463029,0.6674686013656224,5.1470537165924535,0.998320819471619,0.3102553786560368,0.59887405420824,0.3262420251723137,0.5840413316141172,-0.004970328236034713,-0.015465121575793283,0,,
0.91,4.596430054565147,0.6774817532630489,5.150156270379014,1.0043095600137013,0.3128356108549949,0.5995828986460722,0.31773987144929633,0.6543517579878217,-0.0023583247526210633,-0.01502635657306557,0,,
0.92,4.64794725904948,0.6875548280081183,5.153284626487564,1.010305389000162,0.31538943613299475,0.6002804963514498,0.2567779857973894,0.6508219564755364,-0.0031801792142885374,-0.012813779152945792,0,,
0.93,4.699495874786162,0.6976878959229376,5.156438520848894,1.0163081939636767,0.31791668798358136,0.6009667740690176,0.2688483755970089,0.6632954799004025,-0.0023226663373653103,-0.009742267168953808,0,,
